model,strategy,warm_start,role,dataset,iteration,accuracy_mean,accuracy_sem,n_seeds
deep_gp_expr,entropy_batch,warm,al,mcmc,47,0.865616,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,48,0.866554,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,49,0.864744,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,50,0.866094,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,51,0.867138,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,52,0.865114,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,53,0.860834,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,54,0.867894,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,55,0.863640,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,56,0.868824,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,57,0.868096,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,58,0.863222,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,59,0.864456,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,60,0.863342,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,61,0.866556,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,62,0.865162,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,63,0.868308,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,64,0.871728,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,65,0.866956,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,66,0.865302,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,67,0.870728,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,68,0.866198,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,69,0.863114,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,70,0.861816,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,71,0.870046,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,72,0.860260,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,73,0.864028,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,74,0.863356,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,75,0.865444,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,76,0.864550,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,77,0.862312,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,78,0.871536,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,79,0.864858,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,80,0.865774,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,81,0.862676,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,82,0.869360,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,83,0.861894,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,84,0.870984,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,85,0.863106,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,86,0.864824,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,87,0.864140,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,88,0.867606,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,89,0.862428,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,90,0.868792,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,91,0.867102,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,92,0.862818,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,93,0.864320,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,94,0.870172,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,95,0.871016,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,96,0.869292,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,97,0.863574,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,98,0.863562,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,99,0.865954,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,100,0.870776,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,101,0.863316,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,102,0.863046,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,103,0.867446,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,104,0.864548,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,105,0.869084,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,106,0.867400,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,107,0.863006,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,108,0.865740,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,109,0.866068,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,110,0.873804,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,111,0.865124,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,112,0.865048,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,113,0.864302,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,114,0.864714,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,115,0.865806,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,116,0.864994,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,117,0.867196,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,118,0.864384,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,119,0.867744,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,120,0.863428,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,121,0.861920,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,122,0.862464,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,123,0.860868,,1
deep_gp_expr,entropy_batch,warm,al,mcmc,124,0.870042,,1
deep_gp_expr,entropy_batch,warm,al,train,1,0.843250,0.001389,5
deep_gp_expr,entropy_batch,warm,al,train,2,0.823551,0.004542,5
deep_gp_expr,entropy_batch,warm,al,train,3,0.800909,0.005612,5
deep_gp_expr,entropy_batch,warm,al,train,4,0.781858,0.004495,5
deep_gp_expr,entropy_batch,warm,al,train,5,0.772382,0.006770,5
deep_gp_expr,entropy_batch,warm,al,train,6,0.764479,0.004760,5
deep_gp_expr,entropy_batch,warm,al,train,7,0.753522,0.006091,5
deep_gp_expr,entropy_batch,warm,al,train,8,0.750019,0.003899,5
deep_gp_expr,entropy_batch,warm,al,train,9,0.742177,0.004116,5
deep_gp_expr,entropy_batch,warm,al,train,10,0.736576,0.004708,5
deep_gp_expr,entropy_batch,warm,al,train,11,0.737785,0.002982,5
deep_gp_expr,entropy_batch,warm,al,train,12,0.731608,0.004076,5
deep_gp_expr,entropy_batch,warm,al,train,13,0.725588,0.004821,5
deep_gp_expr,entropy_batch,warm,al,train,14,0.726735,0.005999,5
deep_gp_expr,entropy_batch,warm,al,train,15,0.723085,0.005061,5
deep_gp_expr,entropy_batch,warm,al,train,16,0.719199,0.004264,5
deep_gp_expr,entropy_batch,warm,al,train,17,0.714806,0.002848,5
deep_gp_expr,entropy_batch,warm,al,train,18,0.715987,0.005902,5
deep_gp_expr,entropy_batch,warm,al,train,19,0.712079,0.005890,5
deep_gp_expr,entropy_batch,warm,al,train,20,0.711182,0.005574,5
deep_gp_expr,entropy_batch,warm,al,train,21,0.706433,0.007412,5
deep_gp_expr,entropy_batch,warm,al,train,22,0.706011,0.007520,5
deep_gp_expr,entropy_batch,warm,al,train,23,0.710704,0.008718,5
deep_gp_expr,entropy_batch,warm,al,train,24,0.707859,0.009076,5
deep_gp_expr,entropy_batch,warm,al,train,25,0.707211,0.008132,5
deep_gp_expr,entropy_batch,warm,al,train,26,0.709029,0.007174,5
deep_gp_expr,entropy_batch,warm,al,train,27,0.709321,0.006808,5
deep_gp_expr,entropy_batch,warm,al,train,28,0.706993,0.006584,5
deep_gp_expr,entropy_batch,warm,al,train,29,0.707712,0.007418,5
deep_gp_expr,entropy_batch,warm,al,train,30,0.713197,0.006270,5
deep_gp_expr,entropy_batch,warm,al,train,31,0.706717,0.005661,5
deep_gp_expr,entropy_batch,warm,al,train,32,0.706788,0.004400,5
deep_gp_expr,entropy_batch,warm,al,train,33,0.705809,0.002570,5
deep_gp_expr,entropy_batch,warm,al,train,34,0.703271,0.004774,5
deep_gp_expr,entropy_batch,warm,al,train,35,0.707290,0.003680,5
deep_gp_expr,entropy_batch,warm,al,train,36,0.704786,0.004645,5
deep_gp_expr,entropy_batch,warm,al,train,37,0.701372,0.004132,5
deep_gp_expr,entropy_batch,warm,al,train,38,0.703975,0.006805,5
deep_gp_expr,entropy_batch,warm,al,train,39,0.706624,0.007788,5
deep_gp_expr,entropy_batch,warm,al,train,40,0.708778,0.006627,5
deep_gp_expr,entropy_batch,warm,al,train,41,0.725416,,1
deep_gp_expr,entropy_batch,warm,al,train,42,0.728097,,1
deep_gp_expr,entropy_batch,warm,al,train,43,0.741608,,1
deep_gp_expr,entropy_batch,warm,al,train,44,0.738794,,1
